To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage
i_clk50,Input,PIN_R20,5B,B5B_N0,PIN_R20,3.3-V LVTTL,,,,,,,,,,,,
i_reset,Input,PIN_P11,3B,B3B_N0,PIN_P11,1.2 V,,,,,,,,,,,,
i_RX_DATA,Input,PIN_M9,8A,B8A_N0,PIN_M9,2.5 V,,,,,,,,,,,,
o_BCLK,Output,PIN_E6,8A,B8A_N0,PIN_E6,2.5 V,,,,,,,,,,,,
o_DATA,Output,PIN_H10,8A,B8A_N0,PIN_H10,2.5 V,,,,,,,,,,,,
o_LEDs[7],Output,PIN_H9,8A,B8A_N0,PIN_H9,2.5 V,,,,,,,,,,,,
o_LEDs[6],Output,PIN_H8,8A,B8A_N0,PIN_H8,2.5 V,,,,,,,,,,,,
o_LEDs[5],Output,PIN_B6,8A,B8A_N0,PIN_B6,2.5 V,,,,,,,,,,,,
o_LEDs[4],Output,PIN_A5,8A,B8A_N0,PIN_A5,2.5 V,,,,,,,,,,,,
o_LEDs[3],Output,PIN_E9,8A,B8A_N0,PIN_E9,2.5 V,,,,,,,,,,,,
o_LEDs[2],Output,PIN_D8,8A,B8A_N0,PIN_D8,2.5 V,,,,,,,,,,,,
o_LEDs[1],Output,PIN_K6,8A,B8A_N0,PIN_K6,2.5 V,,,,,,,,,,,,
o_LEDs[0],Output,PIN_L7,8A,B8A_N0,PIN_L7,2.5 V,,,,,,,,,,,,
o_LRCLK,Output,PIN_G10,8A,B8A_N0,PIN_G10,2.5 V,,,,,,,,,,,,
o_MCLK,Output,PIN_D6,8A,B8A_N0,PIN_D6,2.5 V,,,,,,,,,,,,
